Reviewer,Record #,First_author,Year,Journal,Title,Stressor class,Exact stressor,Receptor,aquatic,Study system,Structure measured?,Function measured?,Structural measures_CLEAN,Functional measures_CLEAN,STR_VAR,FUN_VAR
Costello,66,Baustian,2010,Environmental Management,In Situ Burning Restores the Ecological Function and Structure of an Oil-Impacted Coastal Marsh,oil and burning,Katrina oiling and burning as restoration,plant community,terrestrial,field,Yes,Yes,biomass, primary_production ; primary_production ; decomposition ; resiliency to disturbance,biomass,primary_production ; primary_production ; decomposition ; resiliency_to_disturbance
Costello,67,Bayle,2009,Journal of Applied Microbiology,Structural and functional responses of sewage microbial communities used for the treatment of a complex mixture of volatile organic compounds (VOCs),VOCs,11 compounds (methanol; acetone; etc.),microbes,aquatic,lab,Yes,Yes,bacterial abundance ; bacterial diversity,biodegradation ; bacterial growth,abundance ; diversity,biodegradation ; growth
Costello,69,Bayona,2015,Ecotoxicology,Effect of thiram and of a hydrocarbon mixture on freshwater macroinvertebrate communities in outdoor stream and pond mesocosms: II. Biological and ecological trait responses and leaf litter breakdownEcotoxicology,organics,thiram; hydrocarbon mix,invertebrates; decomposition,aquatic,lab,Yes,Yes,biomass ; community_composition ; traits,decomposition,biomass ; community_composition ; traits,decomposition
Costello,74,Belanger,2002,Ecotoxicology and Environmental Safety,Integration of aquatic fate and ecological responses to linear alkyl benzene sulfonate (LAS) in model stream ecosystems,organic,LAS; surfactant,microbes; algae; invertebrates,aquatic,lab,Yes,Yes,biomass ; community_composition ,amino acid uptake ; primary_production,biomass ; community_composition,amino_acid_uptake ; primary_production
Costello,75,Belanger,2004,Environmental Toxicology and Chemistry,Responses of periphyton and invertebrates to a tetradecyl-pentadecyl sulfate mixture in stream mesocosms,organic,alkyl sulfates; surfactant,microbes; algae; invertebrates,aquatic,lab,Yes,Yes,biomass ; community_composition ,amino acid uptake ; primary_production,biomass ; community_composition,amino_acid_uptake ; primary_production
Costello,79,Belnap,2004,Oecologia,Response of desert biological soil crusts to alterations in precipitation frequency,drought,altered precipitation,microbes; soil crust,terrestrial,lab,Yes,Yes,photosynthetic pigments,photosynthesis ; enzyme_activity,photosynthetic_pigments,photosynthesis ; enzyme_activity
Costello,82,Berard,2011,European Journal of Soil Biology,Resilience of soil microbial communities impacted by severe drought and high temperature in the context of Mediterranean heat waves,climate change,drought; elevated temperature,microbes,terrestrial,lab,Yes,Yes,fatty acids,respiration ; carbon susbtrate use,fatty_acids,respiration ; carbon_susbtrate_use
Costello,83,Berard,2016,Environmental Science and Pollution Research,Soil microbial respiration and PICT responses to an industrial and historic lead pollution: a field study,metal,lead,microbes,terrestrial,field,Yes,Yes,biomass ; metabolic community profile,respiration ,biomass ; metabolic_community_profile,respiration
Costello,84,Bergfur,2007,Fundamental and Applied Limnology,Assessing the ecological integrity of boreal streams: a comparison of functional and structural responses,nutrients,natural nutrient gradient,macroinvertebrates; decomposition,aquatic,field,Yes,Yes,community_composition,decomposition,community_composition,decomposition
Costello,85,Bergfur,2007,Freshwater Biology,"Effects of nutrient enrichment on boreal streams: invertebrates, fungi and leaf-litter breakdown",nutrients,natural nutrient gradient,macroinvertebrates; decomposition,aquatic,field,Yes,Yes,community_composition ; biomass,decomposition,community_composition ; biomass,decomposition
Costello,86,Berner,2011,Pedobiologia,Land-use intensity modifies spatial distribution and function of soil microorganisms in grasslands,Land use change,mowing and fertilizer,microbes,terrestrial,field,Yes,Yes,microbial biomass ,enzyme_activity,biomass,enzyme_activity
Costello,89,Binh,2016,Environmental Science-Nano,"Chronic addition of a common engineered nanomaterial alters biomass, activity and composition of stream biofilm communities",nanomaterials,TiO2,microbes,aquatic,lab,Yes,Yes,biomass ; cell density,photosynthesis ; metabolism,biomass ; cell_density,photosynthesis ; metabolism
Costello,90,Birkhofer,2008,Soil Biology & Biochemistry,"Long-term organic farming fosters below and aboveground biota: Implications for soil quality, biological control and productivity",agriculture,herbicide; manure; fertilizer,microbes; invertebrates,terrestrial,field,Yes,Yes,biomass,respiration ; carbon substrate use ; nutrient_transformation,biomass,respiration ; carbon_substrate_use ; nutrient_transformation
Costello,92,Bissett,2014,Soil Biology & Biochemistry,"Land-use and management practices affect soil ammonia oxidiser community structure, activity and connectedness",agriculture,tillage; nutrient enrichment,microbes; ammonia oxidizers,terrestrial,field,Yes,Yes,community_composition ; gene abundance,nutrient_transformation ,community_composition ; gene_abundance,nutrient_transformation
Costello,94,Blasko,2013,Forest Ecology and Management,"Relations among soil microbial community composition, nitrogen turnover, and tree growth in N-loaded and previously N-loaded boreal spruce forest",nutrients,N deposition,microbes; plants,terrestrial,field,Yes,Yes,biomass ; microbial community_composition ; vegetation nutrient content,nutrient_transformation ; primary_production,biomass ; community_composition ; vegetation_nutrient_content,nutrient_transformation ; primary_production
Costello,96,Bogomolov,1996,Applied Soil Ecology,An ecosystem approach to soil toxicity testing: A study of copper contamination in laboratory soil microcosms,metals,copper,microbes,terrestrial,lab,Yes,Yes,microbial nutrient transformation ; biomass,carbon substrate use ; respiration ; enzyme_activity ; decomposition,nutrient_transformation ; biomass,carbon_substrate_use ; respiration ; enzyme_activity ; decomposition
Costello,104,Bott,2012,Ecological Applications,Abandoned coal mine drainage and its remediation: impacts on stream ecosystem structure and function,acid mine drainage,,microbes; macroinvertebrates,aquatic,field; lab,Yes,Yes,biomass,respiration ; photosynthesis ; decomposition,biomass,respiration ; photosynthesis ; decomposition
Costello,107,Boudiaf,2013,Soil Biology & Biochemistry,"The exotic legume tree species, Acacia mearnsii, alters microbial soil functionalities and the early development of a native tree species, Quercus suber, in North Africa",invasive species,Acacia mearnsii,microbes; native tree,terrestrial,lab,Yes,Yes,biomass ; EM abundance ; tissue chemistry,carbon substrate use,biomass ; abundance ; tissue_chemistry,carbon_substrate_use
Costello,111,Bowles,2014,Soil Biology & Biochemistry,"Soil enzyme activities, microbial communities, and carbon and nitrogen availability in organic agroecosystems across an intensively-managed agricultural landscape",agriculture,nutrient enrichment,microbes,terrestrial,field,Yes,Yes,community_composition,enzyme_activity,community_composition,enzyme_activity
Costello,112,Boxman,1998,Forest Ecology and Management,Vegetation and soil biota response to experimentally-changed nitrogen inputs in coniferous forest ecosystems of the NITREX project,nutrients,nitrogen,microbes; plants,terrestrial,lab,Yes,Yes,fungal density ; plant nutrient content ; soil fauna,root growth ; decomposition,density ; nutrient_content ; soil_fauna,root_growth ; decomposition
Bundschuh,115,Brandt,2010,Soil Biology & Biochemistry,Development of pollution-induced community tolerance is linked to structural and functional resilience of a soil bacterial community following a five-year field exposure to copper,chemical stressor,Copper,mircobes,,,Yes,Yes,bacterial community_composition,respiration,community_composition,respiration
Bundschuh,116,Brandt,2004,Fems Microbiology Ecology,Microbial community-level toxicity testing of linear alkylbenzene sulfonates in aquatic microcosms,chemical stressor,Linear alkylbenzene sulfonate,microbes,,,Yes,Yes,bacterial community_composition,enzyme_activity,community_composition,enzyme_activity
Bundschuh,119,Brock,1993,Archives of Environmental Contamination and Toxicology,Fate and effects of the insecticide Dursban(R) 4E in indoor elodea-dominated and macrophyte-free fresh-water model-ecosystems III. Aspects of ecosystem functioning,chemical stressor,Chlorpyriphos,invertebrates,,,Yes,Yes,abundance,community metabolism ; decomposition,abundance,community_metabolism ; decomposition
Bundschuh,125,Bushaw,2012,Environmental Science and Pollution Research,Bacterial community profiles from sediments of the Anacostia River using metabolic and molecular analyses,chemical stressor,along a river; contamination gradient,microbes,,,Yes,Yes,bacterial community_composition,enzyme_activity,community_composition,enzyme_activity
Bundschuh,126,Buyer,2011,Plant and Soil,"Soil microbial community function, structure, and glomalin in response to tall fescue endophyte infection",disease,,microbes,,,Yes,Yes,Phospholipid fatty acid profile,enzyme_activity,phospholipid_fatty_acid_profile,enzyme_activity
Bundschuh,127,Buzby,2007,Hydrobiologia,Structural and functional aspects of treated mine water and aquaculture effluent streams,wastewater,mine water; aquaculture,invertebrates,,,Yes,Yes, community_composition,decomposition,community_composition,decomposition
Bundschuh,128,Cabral,2014,Marine and Freshwater Research,Impact of sewage pollution on the structure and functioning of a rocky shore benthic community,wastewater,Sewage,invertebrates,,,Yes,Yes,community_composition,secondary_production,community_composition,secondary_production
Bundschuh,129,Cabrini,2013,Water Air and Soil Pollution,Leaf Packs in Impaired Streams: The Influence of Leaf Type and Environmental Gradients on Breakdown Rate and Invertebrate Assemblage Composition,Water quality gradient,general parameters including landuse,invertebrates,,,Yes,Yes,community_composition,decomposition,community_composition,decomposition
Bundschuh,132,Camill,1999,Canadian Journal of Botany,Patterns of boreal permafrost peatland vegetation across environmental gradients sensitive to climate warming,Global warming,shifts in permafrost,plants,,,Yes,Yes,shrub community_composition,decomposition,community_composition,decomposition
Bundschuh,135,Caquet,2007,Environmental Toxicology and Chemistry,Influence of isolation on the recovery of pond mesocosms from the application of an insecticide. II. Benthic macroinvertebrate responses,chemical stressor,Deltamethrin,invertebrates,,,Yes,Yes,community_composition,decomposition,community_composition,decomposition
Bundschuh,137,Carlisle,2005,Freshwater Biology,"Leaf litter breakdown, microbial respiration and shredder production in metal-polluted streams",chemical stressor,Zinc,Invertebrates,,,Yes,Yes,community_composition,decomposition,community_composition,decomposition
Bundschuh,139,Carrillo,2008,Global Change Biology,Phosphorus inputs unmask negative effects of ultraviolet radiation on algae in a high mountain lake,ultraviolet light; chemical stressor,UVR; Eutrophication,algae,,,Yes,Yes,algal biomass,primary_production ; organic carbon release,biomass,primary_production ; organic_carbon_release
Bundschuh,140,Carrino,2012,Fems Microbiology Ecology,The effects of pH change and NO-3 pulse on microbial community structure and function: a vernal pool microcosm study,multiple stressors,pH; nitrate,microbes,,,Yes,Yes,bacterial ; fungal community_composition ,Respiration,community_composition,Respiration
Bundschuh,141,Carvalho,2014,Oecologia,"Are fire, soil fertility and toxicity, water availability, plant functional diversity, and litter decomposition related in a Neotropical savanna?",multiple stressors,fire; nutrient enrichment; water availabilty,,,,Yes,Yes,functional_diversity,decomposition,functional_diversity,decomposition
Bundschuh,142,Castela,2008,Environmental Pollution,Evaluation of stream ecological integrity using litter decomposition and benthic invertebrates,multiple stressors,nutrient enrichment; Habitat degradation,invertebrates; aquatic fungi,,,Yes,Yes,community_composition,decomposition,community_composition,decomposition
Bundschuh,143,Castro,2010,Plant and Soil,Effects of land abandonment on plant litter decomposition in a Montado system: relation to litter chemistry and community functional parameters,Land use change,Land abandonment,plants,,,Yes,Yes,community_composition,decomposition,community_composition,decomposition
Bundschuh,144,Castro,2015,Science of the Total Environment,Influence of the interaction between phosphate and arsenate on periphyton's growth and its nutrient uptake capacity,multiple stressors,nutrient enrichment; arsenate,periphyton,,,Yes,Yes,community_composition,retain nutrients ; photosynthesis,community_composition,retain_nutrients ; photosynthesis
Bundschuh,145,Chadwick,2006,Ecological Applications,"Urbanization affects stream ecosystem function by altering hydrology, chemistry, and biotic richness",Land use change,water quality paramters; metals,invertebrates,,,Yes,Yes,Invertebrate richness,decomposition,richness,decomposition
Bundschuh,146,Chambers,2016,Wetlands,Effects of Salinity and Inundation on Microbial Community Structure and Function in a Mangrove Peat Soil,Global change,Salinity; Inundation,microbes,,,Yes,Yes,Microbial community_composition,enzyme_activity,community_composition,enzyme_activity
Bundschuh,147,Chandrasekaran,2002,Agriculture Ecosystems & Environment,"Biomass, litterfall and aboveground net primary productivity of herbaceous communities in varied ecosystems at Kodayar in the western ghats of Tamil Nadu",Land use change,Plantantion,plants,,,Yes,Yes,plant community_composition, primary_production ; Biomass generation,community_composition,primary_production ; biomass_generation
Bundschuh,148,Chapin,2004,Wetlands,"pH and nutrient effects on above-ground net primary production in a Minnesota, USA bog and fen",pH; Nutrients,pH; N; P limitation,plants,,,Yes,Yes,community_composition, primary_production,community_composition,primary_production
Bundschuh,149,Chen,2013,Journal of Ecology,Evidence that acidification-induced declines in plant diversity and productivity are mediated by changes in below-ground communities and soil properties in a semi-arid steppe,Acidification,,microbes; nematodes; Plant,,,Yes,Yes,bacterial ; fungal community_composition ; nematod community ; plant community,plant cover,community_composition,plant_cover
Bundschuh,150,Chen,2013,Journal of Environmental Sciences,Soil microbial community structure and function responses to successive planting of Eucalyptus,Land use change,Plantation of Eucalytus,microbes,,,Yes,Yes,microbe community_composition ,enzyme_activity,community_composition,enzyme_activity
Bundschuh,152,Chung,2006,Oecologia,Fungal community composition and metabolism under elevated CO2 and O-3,Climate change,CO2 and O3 atmospheric concentration,microbes,,,Yes,Yes,microbe community_composition ,enzyme_activity,community_composition,enzyme_activity
Bundschuh,153,Cibic,2012,Marine Ecology Progress Series,Benthic ecosystem functioning in hydrocarbon and heavy-metal contaminated sediments of an Adriatic lagoon,Contamination gradient,Salinity; Metals; Hydrocarbons,invertebrates; microbes,,,Yes,Yes,Invertebrate diversity,enzyme_activity ; primary_production,Invertebrate_diversity,enzyme_activity ; primary_production
Bundschuh,154,Clapcott,2012,Freshwater Biology,Quantifying relationships between land-use gradients and structural and functional indicators of stream ecological integrity,Land use change,urbanisaition; agriculture,invertebrates; fish,,,Yes,Yes,Invertebrate ; fish community_composition ; richness,primary_production ; decomposition ; respiration,community_composition ; richness,primary_production ; decomposition ; respiration
Bundschuh,156,Clements,2015,Environmental Science & Technology,Ecological Effects of Biochar on the Structure and Function of Stream Benthic Communities,chemical stressor,Biochar,Invertebrates,,,Yes,Yes,community_composition,metabolism,community_composition,metabolism
Bundschuh,158,Coelho,2015,Global Change Biology,Unraveling the interactive effects of climate change and oil contamination on laboratory-simulated estuarine benthic communities,multiple stressors,Oil contamination; Ocean acidification; UVB,microbes,,,Yes,Yes,bacterial community_composition,biodegradation,community_composition,biodegradation
Bundschuh,161,Collier,2014,New Zealand Journal of Marine and Freshwater Research,"Wood decay rates and macroinvertebrate community structure along contrasting human pressure gradients ( Waikato, New Zealand)",Land use change,Urban; industrial; agricultural; hydrological stressor,invertebrate,,,Yes,Yes,community_composition,decomposition,community_composition,decomposition
Bundschuh,162,Collins,2016,Journal of Ecology,Direct and indirect effects of native range expansion on soil microbial community structure and function,invasive species,native species invation,microbes,,,Yes,Yes,bacterial ; archaeal community_composition ; richness,microbial respiration,community_composition ; richness,respiration
Bundschuh,163,Colman,2012,Ecotoxicology,Antimicrobial effects of commercial silver nanoparticles are attenuated in natural streamwater and sediment,chemical stressor,Silver nanoparticles,microbes,,,Yes,Yes,bacterial community_composition ,respiration ; enzyme_activity,community_composition,respiration ; enzyme_activity
Bundschuh,164,Conrad,2014,Environmental Microbiology,Response of the methanogenic microbial communities in Amazonian oxbow lake sediments to desiccation stress,Climate change,disiccation,microbes,,,Yes,Yes,bacterial ; archaeal community_composition ,Methane production,community_composition,Methane_production
Bundschuh,165,Cook,2016,Freshwater Science,Environmental drivers of leaf breakdown in an urban watershed,Land use change,Urbanisaition,invertebrate,,,Yes,Yes,invertebrate community_composition,decomposition,community_composition,decomposition
Bundschuh,166,Cookson,2006,Australian Journal of Soil Research,"The influence of season, agricultural management, and soil properties on gross nitrogen transformations and bacterial community structure",Land management,agricutrila treatment practices,microbes,,,Yes,Yes,bacterial community_composition ,nutrient_flux ,community_composition,nutrient_flux
Bundschuh,167,Corcoll,2012,Journal of Phycology,Light History Influences the Response of Fluvial Biofilms to Zn Exposure,multiple stressors,Light; Metal; Zinc,microbes,,,Yes,Yes,Algal groups ; Diatom taxonomy,Photochemical quenching,Algal_groups ; Diatom_taxonomy,Photochemical_quenching
Bundschuh,168,Corcoll,2015,Science of the Total Environment,Effects of flow intermittency and pharmaceutical exposure on the structure and metabolism of stream biofilms,multiple stressors,Flow intermittency; Pharmaceuticals,microbes,,,Yes,Yes,Algal taxa richness ; bacterial community_composition,primary_production ; community respiration,Algal_taxa_richness ; community_composition,primary_production ; respiration
Bundschuh,173,Creamer,2015,Geoderma,Divergent responses of organic matter composition to incubation temperature,Climate change,Temperature,microbes,,,Yes,Yes,Microbial community_composition ,decomposition,community_composition,decomposition
Bundschuh,174,Cregger,2014,Functional Ecology,The impact of precipitation change on nitrogen cycling in a semi-arid ecosystem,Climate change,Precipitation,microbes,,,Yes,Yes,Ammonia oxidation genes,nutrient_cycling,Ammonia_oxidation_genes,nutrient_cycling
Bundschuh,175,Crouzet,2016,Environmental Science and Pollution Research,Functional and structural responses of soil N-cycling microbial communities to the herbicide mesotrione: a dose-effect microcosm approach,chemical stressor,Herbicide; Mesotrione,microbes,,,Yes,Yes,bacterial community_composition,nutrient_transformation,community_composition,nutrient_transformation
Bundschuh,176,Crowe,2013,Plos One,Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning,multiple stressors,Canopy removal; physical distrubance,algae; invertebrates,,,Yes,Yes,algal ; invertebrate community_composition,Community respiration ; primary_production,community_composition,respiration ; primary_production
Bundschuh,178,Daam,2007,Archives of Environmental Contamination and Toxicology,"Effects of chlorpyrifos, carbendazim, and linuron on the ecology of a small indoor aquatic microcosm",chemical stressor,Chlorpyrifos; Carbendazim; Linuron,phytoplancton zooplankton,,,Yes,Yes,Community_composition,decomposition,Community_composition,decomposition
Bundschuh,179,Damashek,2015,Frontiers in Microbiology,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,Land use change,Genealr water quality parameters mainly N,microbes,,,Yes,Yes,ammonia oxidizing bacterial ; archaeal abundance,nutrient_transformation,ammonia_oxidizing ; abundance,nutrient_transformation
Bundschuh,180,Dangles,2004,Journal of Applied Ecology,Impacts of stream acidification on litter breakdown: implications for assessing ecosystem functioning,chemical stressor,Acidification,invertebrates; microbes,,,Yes,Yes,invertebrate community_composition,decomposition ; microbial respiration,community_composition,decomposition ; respiration
Bundschuh,181,Dangles,2004,Oikos,Naturally acid freshwater ecosystems are diverse and functional: evidence from boreal streams,chemical stressor,Acidification,invertebrates,,,Yes,Yes,invertebrate community_composition,decomposition,community_composition,decomposition
Bundschuh,182,Dangles,2000,Hydrobiologia,"Structural and functional responses of benthic macroinvertebrates to acid precipitation in two forested headwater streams (Vosges Mountains, northeastern France)",chemical stressor,Acidification,invertebrates,,,Yes,Yes,invertebrate community_composition,decomposition,community_composition,decomposition
Bundschuh,184,Dassonville,2011,Biological Invasions,"Niche construction by the invasive Asian knotweeds (species complex Fallopia): impact on activity, abundance and community structure of denitrifiers and nitrifiers",invasive species,Asian Knotweeds,microbes,,,Yes,Yes,bacterial community_composition ,enzyme_activity; nutrient_transformation,community_composition,enzyme_activity;_nutrient_transformation
Bundschuh,186,Davis,2004,Journal of Coastal Research,Importance of storm events in controlling ecosystem structure and function in a Florida gulf coast estuary,Extreme weather events,Plant,,,,Yes,Yes,community_composition,mangrove litter production,community_composition,mangrove_litter_production
Bundschuh,187,de,2016,Ecological Engineering,The effect of rehabilitation measures on ecological infrastructure in response to acid mine drainage from coal mining,restoration,acid mine drainage,microbes,,,Yes,Yes,community_composition,water quality improvement,community_composition,water_quality_improvement
Bundschuh,189,De,2011,Environmental Toxicology and Chemistry,Ecosystem functions and densities of contributing functional groups respond in a different way to chemical stress,chemical stressor,Copper,Microbes; Invertebrates,,,Yes,Yes,community_composition,primary_production,community_composition,primary_production
Bundschuh,190,de,2016,Applied Soil Ecology,"Coal mining practices reduce the microbial biomass, richness and diversity of soil",Mining,habitat alteration; acidification; pollution,microbes,,,Yes,Yes,bacterial community_composition,enzyme_activity,community_composition,enzyme_activity
Bundschuh,191,De,2010,Environmental Pollution,Chlorpyrifos causes decreased organic matter decomposition by suppressing earthworm and termite communities in tropical soil,chemical stressor,Chlorpyriphos,invertebrates,,,Yes,Yes,Earthworm ; termite community_composition,decomposition,community_composition,decomposition
Bundschuh,193,Del,2012,Limnetica,"The performance of biological indicators in assessing the ecological state of streams with varying catchment urbanisation levels in Coimbra, Portugal",Land use change,Urbanisation,invertebrates,,,Yes,Yes,invertebrate community_composition,decomposition,community_composition,decomposition
Bundschuh,194,DeLorenzo,2001,Microbial Ecology,Use of metabolic inhibitors to characterize ecological interactions in an estuarine microbial food web,chemical stressor,Cycloheximide; antibiotics; DCMU,microbes (flagellates; bacteria; ciliates),,,Yes,Yes,Phototrophic community_composition,Bacterial production ; primary_production,community_composition,Bacterial_production ; primary_production
Bundschuh,196,Dickens,2013,Soil Biology & Biochemistry,Exotic annuals reduce soil heterogeneity in coastal sage scrub soil chemical and biological characteristics,invasive species,exotic plants,microbes,,,Yes,Yes,Microbial community_composition ,nutrient_cycling,community_composition,nutrient_cycling
Bundschuh,200,Downing,2010,Freshwater Biology,Species richness facilitates ecosystem resilience in aquatic food webs,chemical stressor,Acidification,plants; invertebrates,,,Yes,Yes,macrophyte ; macroherbivores ; invertebrates diversity,production ; respiration,macrophyte ; macroherbivores ; diversity,production ; respiration
Bundschuh,201,Drenovsky,2007,Biological Invasions,Invasion by Aegilops triuncialis (barb goatgrass) slows carbon and nutrient cycling in a serpentine grassland,invasive species,invasive annual grass,microbes,,,Yes,Yes,microbe community_composition ,decomposition,community_composition,decomposition
Bundschuh,202,Duarte,2009,Freshwater Biology,Functional stability of stream-dwelling microbial decomposers exposed to copper and zinc stress,chemical stressor,metal; copper zinc,microbes,,,Yes,Yes,fungal ; bacterial community_composition ,decomposition,community_composition,decomposition
Bundschuh,208,Emilson,2016,Freshwater Biology,Effects of land use on the structure and function of leaf-litter microbial communities in boreal streams,Land use change,Industry; urban,microbes,,,Yes,Yes,fungal ; bacterial community_composition ,decomposition ; enzyme_activity,community_composition,decomposition ; enzyme_activity
