REV,ACC,AUT,YEAR,JOUR,TITLE,STRESS_CLASS,STRESS_EXACT,RECEPT,AQUA_TERR,SYSTEM,STR_MEAS,FUN_MEAS,STR_VAR,STR_VAR
Costello,22,Allison,2013,Ecology,Microbial abundance and composition influence litter decomposition response to environmental change,drought; N deposition,,litter,terrestrial,field,Yes,Yes,litter chemistry; microbial abundance,decomposition
Costello,23,Alsterberg,2013,Marine Ecology Progress Series,Experimental warming and toxicant exposure can result in antagonistic effects in a shallow-water sediment system,warming; chemical stressor,copper pyrithione,benthic community,aquatic,lab,Yes,Yes,biomass;biomass; algal community composition; macrofauna abundance,primary production; nutrient flux; respiration
Costello,26,Alves,2015,Ecological Indicators,Estuarine intertidal meiofauna and nematode communities as indicator of ecosystem's recovery following mitigation measures,eutrophication,,meiofauna; nematodes,aquatic,field,Yes,No,community composition; feeding guild,NA
Costello,27,Ammar,2015,Cryptogamie Algologie,Seasonal dynamics of phytoplankton and microbiological communities during sporadic fish die-offs in the Bir M'Cherga reservoir (Tunisia),cyanobacterial bloom,,phytoplankton,aquatic,field,Yes,No,community composition; biomass,NA
Costello,28,Amundrud,2016,Ecology,Trophic interactions determine the effects of drought on an aquatic ecosystem,drought,,bromeliad community,aquatic,lab,Yes,Yes,community composition,decomposition
Costello,30,Anderson,2009,Microbial Ecology,Molecular and Functional Assessment of Bacterial Community Convergence in Metal-Amended Soils,metal,arsenic; lead; copper; cadmium; zinc,microbial community,terrestrial,lab,Yes,Yes,community composition; biomass,respiration
Costello,33,Angeler,2005,Marine and Freshwater Research,Application-rate-dependent impacts of a fire retardant on zooplankton community structure of temporary ponds,fire retardant,Fire-Trol 934,zooplankton,aquatic,lab,Yes,No,community composition,NA
Costello,34,Ansah,2012,Environmental Management,Biological Assessment of Aquaculture Effects on Effluent-Receiving Streams in Ghana Using Structural and Functional Composition of Fish and Macroinvertebrate Assemblages,aquaculture effluent,nutrients,fish; benthic macroinvertebrates,aquatic,field,Yes,No,community composition; ecological guild,NA
Costello,35,Antunes,2009,Journal of Soils and Sediments,Short-term recovery of soil functional parameters and edaphic macro-arthropod community after a forest fire,fire,,microbial community; invertebrates,terrestrial,field,Yes,Yes,arthropod community,enzyme activity; nutrient transformation
Costello,36,Araujo,2013,Soil Biology & Biochemistry,Soil microbial properties and temporal stability in degraded and restored lands of Northeast Brazil,deforestation,,microbial community,terrestrial,field,Yes,Yes,biomass; microbial N content,enzyme activity; respiration
Costello,38,Artigas,2014,Science of the Total Environment,Comparative sensitivity to the fungicide tebuconazole of biofilm and plankton microbial communities in freshwater ecosystems,fungicide,tebuconazole,biofilm; plankton,aquatic,lab,Yes,Yes,biomass; chlorophyll a,bacterial respiration; photosynthesis
Costello,39,Arts,2006,Integrated Environmental Assessment and Management,Ecological Impact in Ditch Mesocosms of Simulated Spray Drift from a Crop Protection Program for Potatoes,pesticides,prosulfocarb; metribuzin; lambda-cyhalothrin; chlorothalonil; and fluazinam,whole community,aquatic,lab,Yes,Yes,community composition ; chlorophyll a; macrophyte cover and structure,decomposition; primary production 
Costello,40,Atalah,2010,Journal of Experimental Marine Biology and Ecology,"Combined effects of nutrient enrichment, sedimentation and grazer loss on rock pool assemblages",nutrients; sediment,,benthic algae,aquatic,field,Yes,No,community composition; percent cover,NA
Costello,42,Avrahami,2009,Global Change Biology,"N2O emission rates in a California meadow soil are influenced by fertilizer level, soil moisture and the community structure of ammonia-oxidizing bacteria",temperature; drought; nutrients,,microbes; ammonia-oxidizing bacteria,terrestrial,lab,Yes,Yes,community composition,nutrient transformation; nutrient transformation
Costello,43,Awasthi,2014,Isme Journal,Biodiversity acts as insurance of productivity of bacterial communities under abiotic perturbations,metals; salt; biodiversity loss,NaCl; Cr; Zn; Ni; Cu; Pb mix,bacteria,NA,lab,Yes,No,bacterial biomass,NA
Costello,45,Baattrup-Pedersen,2013,Freshwater Biology,Effects of stream flooding on the distribution and diversity of groundwater-dependent vegetation in riparian areas,flooding,,plants,terrestrial,field,Yes,No,community composition,NA
Costello,47,Baert,2016,Nature Communications,Per capita interactions and stress tolerance drive stress-induced changes in biodiversity effects on ecosystem functions,herbicide,atrazine,phytoplankton,aquatic,lab,Yes,Yes,biovolume; diversity,production 
Costello,48,Bai,2015,Journal of Ecology,Differential responses of grasses and forbs led to marked reduction in below-ground productivity in temperate steppe following chronic N deposition,nutrients,nitrogen; urea,grasslands,terrestrial,field,Yes,Yes,biomass;biomass; photosynthetic rates; litter chemistry,root growth;  production
Costello,50,Baird,2004,Ecological Applications,Consequences of hypoxia on estuarine ecosystem function: Energy diversion from consumers to microbes,hypoxia,,estuarine community,aquatic,field,Yes,Yes,biomass;biomass; biomass,primary production; herbivory; detritivory
Costello,52,Balczon,1994,Hydrobiologia,A Comparison Of The Responses Of 2 Microcosm Designs To A Toxic Input Of Copper,metal,copper,primary producers,aquatic,lab,Yes,Yes,community composition; biomass,primary production; respiration; alkaline phosphatase activity
Costello,53,Ballantyne,2015,Journal of Environmental Management,Recreational trails as a source of negative impacts on the persistence of keystone species and facilitation,habitat alteration,trail building,plants,terrestrial,field,Yes,No,biomass; functional traits,NA
Costello,55,Bao,2014,Ecotoxicology,Interactive effects of elevated ozone and UV-B radiation on soil nematode diversity,ozone; UV-B,,soil community,terrestrial,lab,Yes,No,nemotode community composition,NA
Costello,56,Baohanta,2012,Biological Invasions,Restoring native forest ecosystems after exotic tree plantation in Madagascar: combination of the local ectotrophic species Leptolena bojeriana and Uapaca bojeri mitigates the negative influence of the exotic species Eucalyptus camaldulensis and Pinus patula,invasion,invasive tree,native trees,terrestrial,lab,Yes,No,biomass; fungal community composition,NA
Costello,57,Baptist,2008,Environmental Microbiology,Tannin impacts on microbial diversity and the functioning of alpine soils: a multidisciplinary approach,tannin; climate change,,soil community,terrestrial,lab,Yes,Yes,microbial community; biomass,CO2 efflux; N mineralization
Costello,59,Barcenas,2014,Plant and Soil,Plant species influence on soil microbial short-term response after fire simulation,fire,,soil community,terrestrial,lab,Yes,Yes,biomass; community composition,respiration
Costello,61,Barni,2007,Arctic Antarctic and Alpine Research,"Interactions between vegetation, roots, and soil stability in restored high-altitude ski runs in the Alps",habitat alteration,ski runs,plant community,terrestrial,field,Yes,No,root length; vegetation cover,NA
Costello,62,Barral-Fraga,2016,Environmental Science and Pollution Research,Short-term arsenic exposure reduces diatom cell size in biofilm communities,metal,arsenic,microbes,aquatic,lab,Yes,Yes,datom community; bacterial abundance; chlorophyll a,primary production; photosynthetic rates
Costello,63,Barthes,2015,Microbial Ecology,Resilience of Aggregated Microbial Communities Subjected to Drought-Small-Scale Studies,drought,,microbes,aquatic,lab,Yes,Yes,algal community; bacterial community,photosynthetic rate; carbon substrate use
Costello,65,Baumberger,2012,Ecological Indicators,Plant community changes as ecological indicator of seabird colonies' impacts on Mediterranean Islands,habitat overuse,large gull population,plant community,terrestrial,field,Yes,No,plant community composition,NA
Costello,66,Baustian,2010,Environmental Management,In Situ Burning Restores the Ecological Function and Structure of an Oil-Impacted Coastal Marsh,oil and burning,Katrina oiling and burning as restoration,plant community,terrestrial,field,Yes,Yes,biomass, primary production; below-ground primary production; cellulose decomposition; resiliancy to disturbance
Costello,67,Bayle,2009,Journal of Applied Microbiology,Structural and functional responses of sewage microbial communities used for the treatment of a complex mixture of volatile organic compounds (VOCs),VOCs,11 compounds (methanol; acetone; etc.),microbes,aquatic,lab,Yes,Yes,bacterial abundance; bacterial diversity,biodegradation; bacterial growth
Costello,68,Bayona,2014,Environmental Pollution,Structural and biological trait responses of diatom assemblages to organic chemicals in outdoor flow-through mesocosmsEnvironmental Pollution,organics,thiram; hydrocarbon mix,diatoms,aquatic,lab,Yes,No,biomass; diatom diversity; diatom traits,NA
Costello,69,Bayona,2015,Ecotoxicology,Effect of thiram and of a hydrocarbon mixture on freshwater macroinvertebrate communities in outdoor stream and pond mesocosms: II. Biological and ecological trait responses and leaf litter breakdownEcotoxicology,organics,thiram; hydrocarbon mix,invertebrates; decomposition,aquatic,lab,Yes,Yes,biomass; community composition; traits,decomposition
Costello,72,Beauchard,2013,Estuarine Coastal and Shelf Science,Sediment macroinvertebrate community functioning in impacted and newly-created tidal freshwater habitatsEstuarine Coastal and Shelf Science,altered hydrology,tidal flooding restoration,macroinvertebrates,aquatic,field,Yes,No,community composition; abundance; traits,
Costello,74,Belanger,2002,Ecotoxicology and Environmental Safety,Integration of aquatic fate and ecological responses to linear alkyl benzene sulfonate (LAS) in model stream ecosystems,organic,LAS; surfactant,microbes; algae; invertebrates,aquatic,lab,Yes,Yes,biomass; community composition ,amino acid uptake; primary production
Costello,75,Belanger,2004,Environmental Toxicology and Chemistry,Responses of periphyton and invertebrates to a tetradecyl-pentadecyl sulfate mixture in stream mesocosms,organic,alkyl sulfates; surfactant,microbes; algae; invertebrates,aquatic,lab,Yes,Yes,biomass; community composition ,amino acid uptake; primary production
Costello,78,Belley,2010,Continental Shelf Research,"Effects of hypoxia on benthic macrofauna and bioturbation in the Estuary and Gulf of St. Lawrence, Canada",hypoxia,,benthic macroinvertebrates,aquatic,field,Yes,No,density; bioturbation traces,NA
Costello,79,Belnap,2004,Oecologia,Response of desert biological soil crusts to alterations in precipitation frequency,drought,altered precipitation,microbes; soil crust,terrestrial,lab,Yes,Yes,photosynthetic pigments,photosynthesis ; nitrogenase
Costello,82,Berard,2011,European Journal of Soil Biology,Resilience of soil microbial communities impacted by severe drought and high temperature in the context of Mediterranean heat waves,climate change,drought; elevated temperature,microbes,terrestrial,lab,Yes,Yes,fatty acids,respiration; carbon susbtrate use
Costello,83,Berard,2016,Environmental Science and Pollution Research,Soil microbial respiration and PICT responses to an industrial and historic lead pollution: a field study,metal,lead,microbes,terrestrial,field,Yes,Yes,biomass; metabolic community profile,respiration 
Costello,84,Bergfur,2007,Fundamental and Applied Limnology,Assessing the ecological integrity of boreal streams: a comparison of functional and structural responses,nutrients,natural nutrient gradient,macroinvertebrates; decomposition,aquatic,field,Yes,Yes,community composition,decomposition
Costello,85,Bergfur,2007,Freshwater Biology,"Effects of nutrient enrichment on boreal streams: invertebrates, fungi and leaf-litter breakdown",nutrients,natural nutrient gradient,macroinvertebrates; decomposition,aquatic,field,Yes,Yes,community composition; biomass,decomposition
Costello,86,Berner,2011,Pedobiologia,Land-use intensity modifies spatial distribution and function of soil microorganisms in grasslands,Land use change,mowing and fertilizer,microbes,terrestrial,field,Yes,Yes,microbial biomass ,enzyme activity
Costello,88,Bier,2015,Isme Journal,Bacterial community responses to a gradient of alkaline mountaintop mine drainage in Central Appalachian streams,mining,alkaline mine drainage,microbes,aquatic,field,Yes,No,community composition; functional traits; metal content,NA
Costello,89,Binh,2016,Environmental Science-Nano,"Chronic addition of a common engineered nanomaterial alters biomass, activity and composition of stream biofilm communities",nanomaterials,TiO2,microbes,aquatic,lab,Yes,Yes,biomass; cell density,photosynthesis; metabolism
Costello,90,Birkhofer,2008,Soil Biology & Biochemistry,"Long-term organic farming fosters below and aboveground biota: Implications for soil quality, biological control and productivity",agriculture,herbicide; manure; fertilizer,microbes; invertebrates,terrestrial,field,Yes,Yes,biomass;biomass; biomass,respiration; carbon substrate use; nutrient transformation
Costello,92,Bissett,2014,Soil Biology & Biochemistry,"Land-use and management practices affect soil ammonia oxidiser community structure, activity and connectedness",agriculture,tillage; nutrients,microbes; ammonia oxidizers,terrestrial,field,Yes,Yes,community composition ; gene abundance,nutrient transformation; nutrient transformation
Costello,94,Blasko,2013,Forest Ecology and Management,"Relations among soil microbial community composition, nitrogen turnover, and tree growth in N-loaded and previously N-loaded boreal spruce forest",nutrients,N deposition,microbes; plants,terrestrial,field,Yes,Yes,biomass; microbial community composition; vegetation nutrient content,nutrient transformation; primary production
Costello,95,Boersma,2014,Freshwater Biology,Invertebrate assemblages of pools in arid-land streams have high functional redundancy and are resistant to severe drying,climate change,drought,invertebrates,aquatic,lab,Yes,No,community composition; traits,NA
Costello,96,Bogomolov,1996,Applied Soil Ecology,An ecosystem approach to soil toxicity testing: A study of copper contamination in laboratory soil microcosms,metals,copper,microbes,terrestrial,lab,Yes,Yes,microbial nutrient transformation; biomass,carbon substrate use; respiration; enzyme activity; decomposition
Costello,102,Bordenave,2004,Ophelia,Structure and functional analyses of bacterial communities changes in microbial mats following petroleum exposure,organic,petroleum,microbes,aquatic,lab,Yes,No,community composition; gene abundance,NA
Costello,104,Bott,2012,Ecological Applications,Abandoned coal mine drainage and its remediation: impacts on stream ecosystem structure and function,acid mine drainage,,microbes; macroinvertebrates,aquatic,field; lab,Yes,Yes,biomass; biomass,respiration; photosynthesis; decomposition
Costello,105,Bouasria,2012,European Journal of Soil Biology,Changes in root-associated microbial communities are determined by species-specific plant growth responses to stress and disturbance,climate change,drought,microbes; macroinvertebrates,terrestrial,lab,Yes,No,community composition,NA
Costello,107,Boudiaf,2013,Soil Biology & Biochemistry,"The exotic legume tree species, Acacia mearnsii, alters microbial soil functionalities and the early development of a native tree species, Quercus suber, in North Africa",invasion,Acacia mearnsii,microbes; native tree,terrestrial,lab,Yes,Yes,biomass; EM abundance; tissue chemistry,carbon substrate use
Costello,108,Bourque,2015,Marine Ecology Progress Series,Impacts of physical disturbance on ecosystem structure in subtropical seagrass meadows,physical disturbance,vessel grounding,whole ecosystem,aquatic,field,Yes,No,biomass; invertebrate community composition,NA
Costello,109,Bouskill,2013,Isme Journal,Pre-exposure to drought increases the resistance of tropical forest soil bacterial communities to extended drought,climate change,drought,microbes,terrestrial,field,Yes,No,community composition,NA
Costello,111,Bowles,2014,Soil Biology & Biochemistry,"Soil enzyme activities, microbial communities, and carbon and nitrogen availability in organic agroecosystems across an intensively-managed agricultural landscape",agriculture,nutrients,microbes,terrestrial,field,Yes,Yes,community composition,enzyme activity
Costello,112,Boxman,1998,Forest Ecology and Management,Vegetation and soil biota response to experimentally-changed nitrogen inputs in coniferous forest ecosystems of the NITREX project,nutrients,nitrogen,microbes; plants,terrestrial,lab,Yes,Yes,fungal density; plant nutrient content; soil fauna,root growth; decomposition
Costello,113,Bradshaw,2015,Environmental Pollution,Hexabromocyclododecane affects benthic-pelagic coupling in an experimental ecosystem,organic,bromonated flame retardant; hexabromocyclododecane,whole ecosystem,aquatic,lab,Yes,No,community composition ; sediment fauna,NA
Bundschuh,115,Brandt,2010,Soil Biology & Biochemistry,Development of pollution-induced community tolerance is linked to structural and functional resilience of a soil bacterial community following a five-year field exposure to copper,chemical stressor,Copper,mircobes,,,Yes,Yes,bacterial community composition via T-RFLP,respiration; substarte induced respiration
Bundschuh,116,Brandt,2004,Fems Microbiology Ecology,Microbial community-level toxicity testing of linear alkylbenzene sulfonates in aquatic microcosms,chemical stressor,Linear alkylbenzene sulfonate,microbes,,,Yes,Yes,bacterial community composition via DGGE,Enzyme activity
Bundschuh,119,Brock,1993,Archives of Environmental Contamination and Toxicology,Fate and effects of the insecticide Dursban(R) 4E in indoor elodea-dominated and macrophyte-free fresh-water model-ecosystems III. Aspects of ecosystem functioning,chemical stressor,Chlorpyriphos,invertebrates,,,Yes,Yes,Abundance of decomposing invertebrates,community metabolism; organic matter decomposition
Bundschuh,120,Brooks,2015,Marine Pollution Bulletin,Biological effects of long term fine limestone tailings discharge in a fjord ecosystem,Suspended particles,Limestone tailing,invertebrates,,,Yes,No,Benthic community composition,Based on traits as not actually measured - paper not relevant
Bundschuh,121,Bruder,2016,Functional Ecology,Multiple-stressor effects on leaf litter decomposition and fungal decomposers in agricultural streams contrast between litter species,multiple stressors,nutrients; suspended particles; velocity; nitrification inhibitor,microbes,,,No,Yes,Fungal biomass,organic matter decomposition
Bundschuh,124,Burlakova,2014,Journal of Great Lakes Research,"Changes in Lake Erie benthos over the last 50 years: Historical perspectives, current status, and main drivers",multiple stressors,nutrients; pollutants; invasive species,invertebrates,,,Yes,No,invertebreate community composition,
Bundschuh,125,Bushaw,2012,Environmental Science and Pollution Research,Bacterial community profiles from sediments of the Anacostia River using metabolic and molecular analyses,chemical stressor,along a river; contamination gradient,microbes,,,Yes,Yes,bacterial community composition via DGGE,Enzyme activity
Bundschuh,126,Buyer,2011,Plant and Soil,"Soil microbial community function, structure, and glomalin in response to tall fescue endophyte infection",disease,,microbes,,,Yes,Yes,Phospholipid fatty acid profile,Enzyme activity
Bundschuh,127,Buzby,2007,Hydrobiologia,Structural and functional aspects of treated mine water and aquaculture effluent streams,wastewater,mine water; aquaculture,invertebrates,,,Yes,Yes,Benthic community composition,organic matter decomposition
Bundschuh,128,Cabral,2014,Marine and Freshwater Research,Impact of sewage pollution on the structure and functioning of a rocky shore benthic community,wastewater,Sewage,invertebrates,,,Yes,Yes,community composition,Secondary production
Bundschuh,129,Cabrini,2013,Water Air and Soil Pollution,Leaf Packs in Impaired Streams: The Influence of Leaf Type and Environmental Gradients on Breakdown Rate and Invertebrate Assemblage Composition,Water quality gradient,general parameters including landuse,invertebrates,,,Yes,Yes,community composition,organic matter decomposition
Bundschuh,132,Camill,1999,Canadian Journal of Botany,Patterns of boreal permafrost peatland vegetation across environmental gradients sensitive to climate warming,Global warming,shifts in permafrost,plants,,,Yes,Yes,shrub community composition,Organic matter decomposition
Bundschuh,135,Caquet,2007,Environmental Toxicology and Chemistry,Influence of isolation on the recovery of pond mesocosms from the application of an insecticide. II. Benthic macroinvertebrate responses,chemical stressor,Deltamethrin,invertebrates,,,Yes,Yes,community composition,Organic matter decomposition
Bundschuh,136,Cardoso,2008,Estuarine Coastal and Shelf Science,The impact of extreme flooding events and anthropogenic stressors on the macrobenthic communities' dynamics,multiple stressors,Eutrophication; extreme floods,Invertebrates,,,Yes,No,community composition,NA
Bundschuh,137,Carlisle,2005,Freshwater Biology,"Leaf litter breakdown, microbial respiration and shredder production in metal-polluted streams",chemical stressor,Zinc,Invertebrates,,,Yes,Yes,Shredder community composition,Organic matter decomposition
Bundschuh,139,Carrillo,2008,Global Change Biology,Phosphorus inputs unmask negative effects of ultraviolet radiation on algae in a high mountain lake,ultraviolet light; chemical stressor,UVR; Eutrophication,algae,,,Yes,Yes,algal biomass related variables,primary production; organic C release
Bundschuh,140,Carrino,2012,Fems Microbiology Ecology,The effects of pH change and NO-3 pulse on microbial community structure and function: a vernal pool microcosm study,multiple stressors,pH; nitrate,microbes,,,Yes,Yes,bacterial and fungal community composition ,Respiration
Bundschuh,141,Carvalho,2014,Oecologia,"Are fire, soil fertility and toxicity, water availability, plant functional diversity, and litter decomposition related in a Neotropical savanna?",multiple stressors,fire; nutrients; water availabilty,,,,Yes,Yes,functional diversity,Organic matter decomposition
Bundschuh,142,Castela,2008,Environmental Pollution,Evaluation of stream ecological integrity using litter decomposition and benthic invertebrates,multiple stressors,Nutrients; Habitat degradation,invertebrates; aquatic fungi,,,Yes,Yes,community composition,Organic matter decomposition
Bundschuh,143,Castro,2010,Plant and Soil,Effects of land abandonment on plant litter decomposition in a Montado system: relation to litter chemistry and community functional parameters,Land use change,Land abandonment,plants,,,Yes,Yes,community composition,Organic matter decomposition
Bundschuh,144,Castro,2015,Science of the Total Environment,Influence of the interaction between phosphate and arsenate on periphyton's growth and its nutrient uptake capacity,multiple stressors,nutrients; arsenate,periphyton,,,Yes,Yes,community composition,retain nutrients; photosynthetic capacity
Bundschuh,145,Chadwick,2006,Ecological Applications,"Urbanization affects stream ecosystem function by altering hydrology, chemistry, and biotic richness",Land use change,water quality paramters; metals,invertebrates,,,Yes,Yes,Invertebrate richness,Organic matter decomposition
Bundschuh,146,Chambers,2016,Wetlands,Effects of Salinity and Inundation on Microbial Community Structure and Function in a Mangrove Peat Soil,Global change,Salinity; Inundation,microbes,,,Yes,Yes,Microbial community ,Enzyme activity
Bundschuh,147,Chandrasekaran,2002,Agriculture Ecosystems & Environment,"Biomass, litterfall and aboveground net primary productivity of herbaceous communities in varied ecosystems at Kodayar in the western ghats of Tamil Nadu",Land use change,Plantantion,plants,,,Yes,Yes,plant community composition, net primary production; Biomass generation
Bundschuh,148,Chapin,2004,Wetlands,"pH and nutrient effects on above-ground net primary production in a Minnesota, USA bog and fen",pH; Nutrients,pH; N; P limitation,plants,,,Yes,Yes,bog; fen community composition, net primary production
Bundschuh,149,Chen,2013,Journal of Ecology,Evidence that acidification-induced declines in plant diversity and productivity are mediated by changes in below-ground communities and soil properties in a semi-arid steppe,Acidification,,microbes; nematodes; Plant,,,Yes,Yes,bacteria; fungi community composition ; nematod community; plant community,plant cover
Bundschuh,150,Chen,2013,Journal of Environmental Sciences,Soil microbial community structure and function responses to successive planting of Eucalyptus,Land use change,Plantation of Eucalytus,microbes,,,Yes,Yes,microbe community composition ,Enzyme activity
Bundschuh,152,Chung,2006,Oecologia,Fungal community composition and metabolism under elevated CO2 and O-3,Climate change,CO2 and O3 atmospheric concentration,microbes,,,Yes,Yes,microbe community composition ,Enzyme activity
Bundschuh,153,Cibic,2012,Marine Ecology Progress Series,Benthic ecosystem functioning in hydrocarbon and heavy-metal contaminated sediments of an Adriatic lagoon,Contamination gradient,Salinity; Metals; Hydrocarbons,invertebrates; microbes,,,Yes,Yes,Invertebrate diversity,Enzyme activity; primary production
Bundschuh,154,Clapcott,2012,Freshwater Biology,Quantifying relationships between land-use gradients and structural and functional indicators of stream ecological integrity,Land use change,urbanisaition; agriculture,invertebrates; fish,,,Yes,Yes,Invertebrate and fish community composition; richness,gross primary production; cellulose decomposition; respiration
Bundschuh,156,Clements,2015,Environmental Science & Technology,Ecological Effects of Biochar on the Structure and Function of Stream Benthic Communities,chemical stressor,Biochar,Invertebrates,,,Yes,Yes,community composition,metabolism
Bundschuh,157,Coelho,2016,Molecular Ecology,Multitaxon activity profiling reveals differential microbial response to reduced seawater pH and oil pollution,multiple stressors,Oil contamination; Ocean acidification,microbes,,,Yes,No,microbial community composition,
Bundschuh,158,Coelho,2015,Global Change Biology,Unraveling the interactive effects of climate change and oil contamination on laboratory-simulated estuarine benthic communities,multiple stressors,Oil contamination; Ocean acidification; UVB,microbes,,,Yes,Yes,bacterial community composition,degradation potential of contaminants
Bundschuh,159,Cogger,2006,Canadian Journal of Soil Science,Biosolids recycling: Nitrogen management and soil ecology,Biosolids,,Nematodes,,,Yes,No,community composition,
Bundschuh,161,Collier,2014,New Zealand Journal of Marine and Freshwater Research,"Wood decay rates and macroinvertebrate community structure along contrasting human pressure gradients ( Waikato, New Zealand)",Land use change,Urban; industrial; agricultural; hydrological stressor,invertebrate,,,Yes,Yes,community composition,wood decomposition
Bundschuh,162,Collins,2016,Journal of Ecology,Direct and indirect effects of native range expansion on soil microbial community structure and function,Invasion,native species invation,microbes,,,Yes,Yes,bacterial; archaeal community composition; richness,microbial respiration
Bundschuh,163,Colman,2012,Ecotoxicology,Antimicrobial effects of commercial silver nanoparticles are attenuated in natural streamwater and sediment,chemical stressor,Silver nanoparticles,microbes,,,Yes,Yes,Bacterial community composition ,respiration; enzyme activity
Bundschuh,164,Conrad,2014,Environmental Microbiology,Response of the methanogenic microbial communities in Amazonian oxbow lake sediments to desiccation stress,Climate change,disiccation,microbes,,,Yes,Yes,bacterial; archaeal community composition ,Methane production
Bundschuh,165,Cook,2016,Freshwater Science,Environmental drivers of leaf breakdown in an urban watershed,Land use change,Urbanisaition,invertebrate,,,Yes,Yes,macroinvertebrate community composition,organic matter decomposition
Bundschuh,166,Cookson,2006,Australian Journal of Soil Research,"The influence of season, agricultural management, and soil properties on gross nitrogen transformations and bacterial community structure",Land management,agricutrila treatment practices,microbes,,,Yes,Yes,Bacterial community composition ,gross nitrogen flux
Bundschuh,167,Corcoll,2012,Journal of Phycology,Light History Influences the Response of Fluvial Biofilms to Zn Exposure,multiple stressors,Light; Metal; Zinc,microbes,,,Yes,Yes,Algal groups; Diatom taxonomy,Photochemcial quenching
Bundschuh,168,Corcoll,2015,Science of the Total Environment,Effects of flow intermittency and pharmaceutical exposure on the structure and metabolism of stream biofilms,multiple stressors,Flow intermittency; Pharmaceuticals,microbes,,,Yes,Yes,Algal taxa richness; bactrial community composition,primary production; community respiration
Bundschuh,169,Corstanje,2007,Ecological Indicators,Soil microbial eco-physiological response to nutrient enrichment in a sub-tropical wetland,No actuall combination of structure and function in one experiment as far as I can tell.,nutrients,microbes,,,No,Yes,,organic matter decomposition; nutrient cycling; enzyme activity
Bundschuh,170,Costello,2016,Freshwater Biology,A novel method to assess effects of chemical stressors on natural biofilm structure and function,No actuall combination of structure and function in one experiment as far as I can tell.,,,,,,,,
Bundschuh,171,Couteaux,1998,Biology and Fertility of Soils,Response of protozoan and microbial communities in various coniferous forest soils after transfer to forests with different levels of atmospheric pollution,multiple stressors,Acidification; N; S deposition,microbes,,,No,Yes,biomass; protozoa abundance,Basal activity
Bundschuh,173,Creamer,2015,Geoderma,Divergent responses of organic matter composition to incubation temperature,Climate change,Temperature,microbes,,,Yes,Yes,Microbial community composition ,organic matter decomposition
Bundschuh,174,Cregger,2014,Functional Ecology,The impact of precipitation change on nitrogen cycling in a semi-arid ecosystem,Climate change,Precipitation,microbes,,,Yes,Yes,Ammonia axidation genes,N-cycling
